date,holiday_name,is_public_holiday
1985-04-08,Lundi de Pâques,1
1985-05-01,Fête du Travail,1
1985-05-08,Fête de la Victoire,1
1985-05-16,Ascension,1
1985-05-27,Lundi de Pentecôte,1
1985-07-14,Fête nationale,1
1985-08-15,Assomption,1
1985-11-01,Toussaint,1
1985-11-11,Armistice,1
1985-12-25,Noël,1
1986-01-01,Jour de l'an,1
1986-03-31,Lundi de Pâques,1
1986-05-01,Fête du Travail,1
1986-05-08,Ascension; Fête de la Victoire,1
1986-05-19,Lundi de Pentecôte,1
1986-07-14,Fête nationale,1
1986-08-15,Assomption,1
1986-11-01,Toussaint,1
1986-11-11,Armistice,1
1986-12-25,Noël,1
1987-01-01,Jour de l'an,1
1987-04-20,Lundi de Pâques,1
1987-05-01,Fête du Travail,1
1987-05-08,Fête de la Victoire,1
1987-05-28,Ascension,1
1987-06-08,Lundi de Pentecôte,1
1987-07-14,Fête nationale,1
1987-08-15,Assomption,1
1987-11-01,Toussaint,1
1987-11-11,Armistice,1
1987-12-25,Noël,1
1988-01-01,Jour de l'an,1
1988-04-04,Lundi de Pâques,1
1988-05-01,Fête du Travail,1
1988-05-08,Fête de la Victoire,1
1988-05-12,Ascension,1
1988-05-23,Lundi de Pentecôte,1
1988-07-14,Fête nationale,1
1988-08-15,Assomption,1
1988-11-01,Toussaint,1
1988-11-11,Armistice,1
1988-12-25,Noël,1
1989-01-01,Jour de l'an,1
1989-03-27,Lundi de Pâques,1
1989-05-01,Fête du Travail,1
