date,is_christian_holiday,is_jewish_holiday,is_muslim_holiday,is_chinese_holiday
1922-04-09,1,0,0,0
1922-04-13,1,0,0,0
1922-04-14,1,0,0,0
1922-04-16,1,0,0,0
1922-04-17,1,0,0,0
1922-04-23,1,0,0,0
1922-05-25,1,0,0,0
1922-05-31,0,0,0,1
1922-06-04,1,0,0,0
1922-06-05,1,0,0,0
1922-06-11,1,0,0,0
1922-06-15,1,0,0,0
1922-06-23,1,0,0,0
1922-06-24,1,0,0,0
1922-06-29,1,0,0,0
1922-08-06,1,0,0,0
1922-08-15,1,0,0,0
1922-08-29,0,0,0,1
1922-09-06,0,0,0,1
1922-09-08,1,0,0,0
1922-09-14,1,0,0,0
